*,Astronomical Low Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Freezing Fog,Frost/Freeze,Funnel Cloud,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind,Hurricane,Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Dense Fog,Marine Hail,Marine High Wind,Marine Lightning,Marine Strong Wind,Marine Thunderstorm Wind,Marine Tropical Storm,Rip Current,Seiche,Sleet,Sneakerwave,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Waterspout,Wildfire,Winter Storm,Winter Weather,
Dust Storm,_,_,_,7.960730471470707e-06,6.908647711186931e-29,4.842764843394486e-09,2.965790144653406e-17,_,6.71837371158375e-36,7.87344793498488e-19,*,8.41624895865829e-09,2.026555501163154e-06,3.1848742928549135e-18,1.5581524276701434e-12,_,5.325115654183812e-06,2.4290856693237714e-22,_,2.1933302105889775e-19,8.876001352712455e-06,_,2.71485270789713e-21,_,4.533202421897799e-15,1.0132411106581067e-13,1.3330058036613434e-20,3.950796341882855e-06,1.948180290927648e-102,_,_,_,_,_,4.9635440310925514e-55,_,1.7620126471211e-05,_,_,_,_,0.0,5.770738061150663e-41,9.517817502920743e-35,_,1.1344921390104941e-15,_,3.1992664223713573e-12,4.584912469540085e-09,_,2.8927336641335902e-09,
Excessive Heat,_,_,2.9796541028580822e-08,3.6912659282752036e-26,_,1.1504823811324547e-33,_,_,_,4.920471439238598e-66,8.41624895865829e-09,*,_,2.697206313563516e-57,1.7226839146974557e-43,_,_,_,1.2322031020257116e-10,_,_,_,_,5.6319729654171624e-15,5.037716497123139e-69,4.582949807265892e-43,2.6877661369170516e-55,4.371213658415235e-42,2.7372015016700397e-191,4.196625250588193e-17,_,_,2.1729017790947178e-08,2.4282508330853342e-14,_,_,_,8.77230786739102e-19,2.5056803025584747e-09,_,4.465261143601969e-09,0.0,6.537137203384122e-111,3.885838839916744e-90,4.535094033729364e-25,7.52346047125128e-49,_,_,2.1496137236227372e-33,4.0062963307422243e-10,_,
Extreme Cold/Wind Chill,_,_,3.1177403418518903e-12,1.9392482405630102e-54,4.623963790586242e-12,3.146099014696459e-74,2.02112741697516e-06,_,4.203884169678301e-21,1.4640702071588257e-89,2.026555501163154e-06,_,*,8.979458327786e-312,6.386821031905754e-218,_,_,9.90857116852948e-09,3.092326224234673e-33,1.6126830285453202e-07,_,_,2.8210020887824074e-08,5.319419631994112e-55,1.6765022330368463e-58,4.00294013817874e-154,1.6021567028111744e-188,9.44384729461094e-20,0.0,2.2957977137345247e-05,_,_,_,1.1717752554919092e-05,7.375797862268848e-25,_,_,1.0177317053422747e-06,2.8090395366957317e-05,_,_,0.0,0.0,0.0,1.0218747091925213e-07,3.641902950772185e-103,_,_,3.839413170978184e-111,3.7065877975397353e-28,_,
Flash Flood,3.54004119264625e-25,3.573019272748556e-14,3.0818269839411675e-119,_,1.502070129158168e-278,_,7.814160539016424e-198,_,0.0,1.3879401209716224e-05,3.1848742928549135e-18,2.697206313563516e-57,8.979458327786e-312,*,1.0002723610198358e-15,1.3057351097781394e-12,7.3080910450959705e-134,1.3483210406250572e-133,0.0,9.329005615116674e-136,0.0,0.0,4.13782666384049e-163,3.636008844568779e-276,_,_,_,_,1.2978178819807897e-180,_,7.596468573786821e-11,9.117928727712903e-07,_,_,0.0,_,2.4271280727477773e-28,_,4.141380573616146e-08,_,_,0.0,8.326965081088248e-203,1.5939440005744625e-41,_,_,_,9.408723134599448e-76,1.357569838516251e-05,0.0,0.0,
Flood,1.7758620533590996e-19,6.664643172542168e-11,7.912646368238698e-79,_,2.872409806037645e-205,_,1.0595825095746964e-145,_,0.0,2.117837585824201e-07,1.5581524276701434e-12,1.7226839146974557e-43,6.386821031905754e-218,1.0002723610198358e-15,*,1.8640878521259097e-09,1.2432933275336478e-96,1.85265522066934e-100,0.0,1.0934648280051352e-101,7.028933856949378e-266,0.0,1.369975892155184e-121,1.1131686770012926e-139,9.949696899732259e-06,_,3.931983639099234e-09,_,7.311058585057037e-219,_,1.4895403234106617e-08,3.662700446681925e-05,_,_,0.0,_,7.064379783841797e-22,_,1.2487982792593791e-05,_,_,0.0,2.0115933843956616e-224,3.3037504112099077e-72,_,_,_,2.062031623903178e-57,_,1.1631466556826601e-264,0.0,
Freezing Fog,_,_,_,5.4908101833143985e-06,1.0751756737970658e-05,2.720610069690075e-08,_,_,_,2.6822572277010805e-17,_,_,_,1.3057351097781394e-12,1.8640878521259097e-09,*,_,1.0426003923881937e-09,_,4.810047852494522e-06,_,_,1.0224508528491239e-05,_,4.629770805118027e-16,1.2289470637044955e-10,2.7192166402913577e-15,2.6034717719055577e-08,1.053164693763233e-68,_,_,_,_,_,1.3292002726207784e-10,_,_,_,_,_,_,0.0,5.345570855738217e-25,3.1107507479617773e-22,_,2.549668416639185e-13,_,_,8.887134299138467e-08,_,_,
Frost/Freeze,_,_,3.1113888798618444e-08,1.251345328187357e-37,6.70962195936433e-09,9.603088385719715e-51,_,_,6.561657792649892e-11,5.666380328828687e-75,5.325115654183812e-06,_,_,7.3080910450959705e-134,1.2432933275336478e-96,_,*,8.187932297563811e-08,2.0962504128912616e-15,2.3153747970420237e-06,_,_,9.266977451557426e-07,1.5280480822558366e-25,6.903111022113139e-55,4.476207791293054e-82,7.726105282268926e-104,2.994997667980128e-20,0.0,1.0695933223153546e-05,_,_,_,6.2663285556151255e-06,2.3467227771981056e-18,_,_,4.4155600019861095e-07,2.8175133423319766e-05,_,_,0.0,8.290567860742605e-276,7.302137524320315e-193,3.365035688990771e-08,4.4711010008845573e-73,_,_,4.895516360568183e-61,7.403137939464991e-14,_,
Funnel Cloud,_,_,5.639820568228395e-20,9.85978005845286e-61,_,2.1723201887955233e-77,_,9.536047274255758e-10,_,8.984349254381898e-163,2.4290856693237714e-22,_,9.90857116852948e-09,1.3483210406250572e-133,1.85265522066934e-100,1.0426003923881937e-09,8.187932297563811e-08,*,1.0677524343474532e-25,_,1.693879362477003e-09,1.1005072399256234e-10,_,1.0686294619225343e-35,9.441674602281386e-186,2.6594128697609303e-93,4.422756146563041e-117,5.428529314643219e-136,0.0,4.118701404579983e-76,_,1.086835821833176e-09,2.6894952894309563e-51,1.6702052701161556e-48,_,_,_,1.1741757398989687e-70,4.6902536975151725e-25,_,7.178818005994999e-39,0.0,9.645462419806523e-261,1.1936296203063374e-189,2.724979366145009e-113,1.6235783977482223e-112,_,_,3.6210205172002534e-74,2.031781885372559e-24,1.3544979759090772e-07,
Hail,2.0578081746461114e-05,_,_,2.2622074750223836e-16,1.9370539906166075e-50,2.4472637256107528e-26,6.841045049643769e-33,_,5.3802263946860514e-148,2.0726448959167654e-33,_,1.2322031020257116e-10,3.092326224234673e-33,0.0,0.0,_,2.0962504128912616e-15,1.0677524343474532e-25,*,4.671385463796895e-25,2.2081052861414215e-38,1.4120431158275758e-47,1.156497642129866e-29,3.8679031547947204e-18,5.214888548386533e-21,9.48993895345488e-101,5.328611842117085e-122,5.035703825833459e-07,0.0,_,_,_,_,_,6.726707849690408e-97,_,5.359869322411847e-06,_,_,_,_,0.0,0.0,0.0,_,6.61750636183458e-41,_,2.1021587655142153e-14,3.8902288070145005e-57,_,1.4693107592024248e-117,
Heat,_,_,7.706122429940088e-19,9.598328170442573e-59,_,3.001142396976208e-75,_,_,_,5.663431456535175e-149,2.1933302105889775e-19,_,1.6126830285453202e-07,9.329005615116674e-136,1.0934648280051352e-101,4.810047852494522e-06,2.3153747970420237e-06,_,4.671385463796895e-25,*,2.4490146404861443e-08,1.357002110776098e-09,_,2.900165715685189e-35,1.9521467800332195e-153,1.3355274869388417e-93,1.658665959482348e-117,4.1237597232310974e-88,0.0,3.177828964391362e-32,_,_,2.459382438645152e-14,8.538590474009791e-29,_,_,_,5.842178644828944e-37,4.699638474217532e-20,_,1.1013009998414826e-16,0.0,2.4802200479505867e-266,1.4628889218235815e-192,1.0564330738026603e-47,4.956857936436464e-109,_,_,5.6479107061768494e-74,1.0553108867523678e-23,1.790329343079617e-06,
