*,Astronomical Low Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Freezing Fog,Frost/Freeze,Funnel Cloud,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind,Hurricane,Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Dense Fog,Marine Hail,Marine High Wind,Marine Lightning,Marine Strong Wind,Marine Thunderstorm Wind,Marine Tropical Storm,Rip Current,Seiche,Sleet,Sneakerwave,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Waterspout,Wildfire,Winter Storm,Winter Weather,
Marine Hail,_,_,_,3.3903018771252854e-06,_,5.09130824936586e-08,_,_,_,3.84760965894494e-16,_,_,_,7.596468573786821e-11,1.4895403234106617e-08,_,_,_,_,_,_,_,_,_,1.8615684229701806e-16,1.4370533209537434e-09,3.1159574738547623e-13,2.0926348139925534e-11,8.915472092606504e-55,1.1883538879220162e-06,*,_,_,_,_,_,_,2.7174235672236765e-06,_,_,_,0.0,8.265774760124157e-20,5.741104268971612e-18,2.1945915005574743e-09,3.525458610036226e-12,_,_,2.011054778764309e-07,_,_,
Marine High Wind,_,_,_,_,_,_,_,_,_,2.2739174069160747e-11,_,_,_,9.117928727712903e-07,3.662700446681925e-05,_,_,1.086835821833176e-09,_,_,_,_,_,_,1.09751995574205e-10,5.876032564881864e-06,1.0089199175630378e-08,6.866759146582931e-06,2.469670438218218e-39,_,_,*,_,_,1.042671753699024e-07,_,_,_,_,_,_,1.1030949649493813e-274,4.805832656792671e-13,7.646062700768547e-12,_,3.288118483253653e-08,_,_,_,_,_,
Marine Lightning,4.241491613715967e-10,_,_,_,4.071754642259984e-10,_,4.9911848653515545e-06,_,2.6269708679507685e-07,_,_,2.1729017790947178e-08,_,_,_,_,_,2.6894952894309563e-51,_,2.459382438645152e-14,_,_,6.246382421134652e-12,_,_,_,_,_,_,_,_,_,*,_,9.397049322223017e-18,_,2.8921065262806492e-11,_,_,_,_,3.047327509480839e-06,_,_,_,_,_,2.500899913790238e-15,_,_,_,
Marine Strong Wind,1.18979803674593e-09,_,_,_,2.410434250877175e-27,_,1.0759758117942069e-15,_,7.087364668896967e-22,_,_,2.4282508330853342e-14,1.1717752554919092e-05,_,_,_,6.2663285556151255e-06,1.6702052701161556e-48,_,8.538590474009791e-29,3.1779076570854815e-05,_,2.7680866021648763e-27,_,_,_,_,_,6.364533728709638e-06,_,_,_,_,*,1.8408191319272488e-50,_,9.408889642305673e-11,_,_,_,_,9.749345921622903e-78,_,_,_,_,_,3.168146582521657e-22,_,_,8.073628783177975e-07,
Marine Thunderstorm Wind,_,_,2.618804865741195e-66,3.5035254217017563e-200,_,3.770304821413782e-257,_,_,_,0.0,4.9635440310925514e-55,_,7.375797862268848e-25,0.0,0.0,1.3292002726207784e-10,2.3467227771981056e-18,_,6.726707849690408e-97,_,1.7764004188848351e-28,5.4497467775077775e-34,_,2.6012081661749036e-133,0.0,0.0,0.0,3.171880632281746e-168,0.0,1.5473226581281967e-46,_,1.042671753699024e-07,9.397049322223017e-18,1.8408191319272488e-50,*,_,_,1.170735435643386e-59,6.351203239994834e-49,_,8.073192207313381e-24,0.0,0.0,0.0,3.418398807279923e-69,0.0,_,_,9.394059888252871e-262,8.39138861005647e-90,3.300233338487909e-22,
Marine Tropical Storm,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2.0122121340839908e-05,_,_,_,_,_,_,*,_,_,_,_,_,7.807936497314246e-66,_,_,_,_,_,6.356102614880114e-07,_,_,_,
Rip Current,_,_,_,2.108249825609664e-14,_,1.6514185583839979e-18,_,_,_,2.227678221726141e-36,1.7620126471211e-05,_,_,2.4271280727477773e-28,7.064379783841797e-22,_,_,_,5.359869322411847e-06,_,_,_,_,4.173875462234181e-08,1.2888922414384337e-39,3.5742917958847735e-23,1.033905206962799e-30,1.7208724490257557e-28,2.3205440933581984e-119,3.098540062068604e-16,_,_,2.8921065262806492e-11,9.408889642305673e-11,_,_,*,3.459663207673452e-15,4.989329912901976e-06,_,9.274012614671317e-09,0.0,1.2840663465232498e-53,1.7754168504567836e-46,1.1881653323164599e-23,5.5730820655598855e-27,_,_,6.5943046993234414e-18,9.178577287496976e-06,_,
Seiche,1.4110026013467633e-13,2.1332829241217988e-05,_,_,2.0077694348072518e-32,_,1.638126262338881e-18,_,6.394947684277594e-25,_,_,8.77230786739102e-19,1.0177317053422747e-06,_,_,_,4.4155600019861095e-07,1.1741757398989687e-70,_,5.842178644828944e-37,3.1558518299240467e-06,1.3639206354083927e-05,6.608204674442958e-34,_,_,_,_,_,_,_,2.7174235672236765e-06,_,_,_,1.170735435643386e-59,_,3.459663207673452e-15,*,_,_,_,5.909828311498189e-19,_,_,_,_,_,2.9313784668121876e-30,_,_,5.5042221039718876e-08,
Sleet,1.8498105676714326e-05,_,_,_,6.43325877416646e-26,_,3.721685407911144e-15,_,2.1170658715314778e-26,2.4080364617254793e-12,_,2.5056803025584747e-09,2.8090395366957317e-05,4.141380573616146e-08,1.2487982792593791e-05,_,2.8175133423319766e-05,4.6902536975151725e-25,_,4.699638474217532e-20,_,_,3.7621180199671034e-21,_,1.2484200973910857e-10,1.1456423877057248e-06,1.365232420762833e-10,_,1.1239460630601903e-55,_,_,_,_,_,6.351203239994834e-49,_,4.989329912901976e-06,_,*,_,_,4.3929780443348914e-302,4.207151048537765e-18,5.641251445364903e-16,_,3.745209124782477e-09,_,3.0343097151899655e-13,_,_,5.046184562664658e-07,
Sneakerwave,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1.687035837698941e-08,_,_,_,_,_,_,_,_,_,_,*,_,4.678866472672397e-102,_,_,_,_,_,_,_,_,_,
Storm Surge/Tide,7.058134434001118e-08,_,_,_,3.1188333665291807e-13,_,1.094957777142992e-07,_,8.228183447524828e-10,_,_,4.465261143601969e-09,_,_,_,_,_,7.178818005994999e-39,_,1.1013009998414826e-16,_,_,1.1426461956414751e-14,_,_,_,_,_,_,_,_,_,_,_,8.073192207313381e-24,_,9.274012614671317e-09,_,_,_,*,7.972446867844723e-35,_,_,_,_,_,3.4382540870851265e-15,_,_,_,
Strong Wind,0.0,0.0,0.0,2.2076739265181306e-284,0.0,2.8533089695784066e-234,0.0,6.818068861529278e-55,0.0,2.408989512025544e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,_,1.4823420193805947e-281,1.7281737759742725e-203,_,1.0783428301341114e-65,_,0.0,1.1030949649493813e-274,3.047327509480839e-06,9.749345921622903e-78,0.0,7.807936497314246e-66,0.0,5.909828311498189e-19,4.3929780443348914e-302,4.678866472672397e-102,7.972446867844723e-35,*,1.1885116382937714e-290,2.987272560084161e-242,_,1.2129923856370837e-129,9.969036890669907e-79,0.0,0.0,0.0,0.0,
Thunderstorm Wind,1.762297444383171e-47,5.586762978613119e-27,1.4296393817317649e-274,8.885428467363391e-18,0.0,3.158268662783564e-08,0.0,_,0.0,_,5.770738061150663e-41,6.537137203384122e-111,0.0,8.326965081088248e-203,2.0115933843956616e-224,5.345570855738217e-25,8.290567860742605e-276,9.645462419806523e-261,0.0,2.4802200479505867e-266,0.0,0.0,0.0,0.0,_,1.7012222408658848e-19,_,_,7.624221222969255e-74,_,8.265774760124157e-20,4.805832656792671e-13,_,_,0.0,_,1.2840663465232498e-53,_,4.207151048537765e-18,_,_,1.1885116382937714e-290,*,_,_,_,_,9.903047726619574e-147,3.52344103749143e-35,0.0,0.0,
Tornado,1.8091997208123727e-41,4.255126502109761e-24,3.873344104501742e-180,1.9675928785097394e-14,0.0,1.3529282659129782e-06,2.055976377182397e-266,_,0.0,_,9.517817502920743e-35,3.885838839916744e-90,0.0,1.5939440005744625e-41,3.3037504112099077e-72,3.1107507479617773e-22,7.302137524320315e-193,1.1936296203063374e-189,0.0,1.4628889218235815e-192,0.0,0.0,1.7289031983654257e-225,0.0,_,3.376795240131459e-13,_,_,2.118659559438935e-63,_,5.741104268971612e-18,7.646062700768547e-12,_,_,0.0,_,1.7754168504567836e-46,_,5.641251445364903e-16,_,_,2.987272560084161e-242,_,*,_,_,_,1.337523335658208e-115,5.847594125592792e-25,0.0,0.0,
Tropical Depression,4.642377381815268e-21,4.061000779390195e-07,_,_,1.0613298346939748e-37,_,2.3826038331113504e-21,_,1.1084881607901913e-27,_,_,4.535094033729364e-25,1.0218747091925213e-07,_,_,_,3.365035688990771e-08,2.724979366145009e-113,_,1.0564330738026603e-47,3.596799330459922e-07,1.8003307577289983e-06,7.983587226698796e-42,_,_,_,_,_,_,_,2.1945915005574743e-09,_,_,_,3.418398807279923e-69,_,1.1881653323164599e-23,_,_,_,_,_,_,_,*,_,_,5.265285101804017e-43,_,_,4.681859672436428e-09,
Tropical Storm,2.0996668725149576e-24,6.181682878989979e-15,1.5237248738733058e-39,2.3749461299389027e-05,3.2228483418322448e-198,_,2.5726887775771573e-132,_,0.0,_,1.1344921390104941e-15,7.52346047125128e-49,3.641902950772185e-103,_,_,2.549668416639185e-13,4.4711010008845573e-73,1.6235783977482223e-112,6.61750636183458e-41,4.956857936436464e-109,1.5337799280618575e-103,5.17915799715115e-101,6.089928576711751e-127,1.7584014837563455e-25,_,_,_,_,9.647771990706311e-12,_,3.525458610036226e-12,3.288118483253653e-08,_,_,0.0,_,5.5730820655598855e-27,_,3.745209124782477e-09,_,_,1.2129923856370837e-129,_,_,_,*,_,4.3067621775896703e-64,_,9.655743833872534e-42,4.062666504935596e-157,
Tsunami,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1.8504109848461124e-06,_,_,_,_,_,_,_,_,_,_,_,_,9.969036890669907e-79,_,_,_,_,*,5.704366905694346e-06,_,_,_,
Waterspout,_,_,2.954616519670484e-11,1.3670006701657195e-34,_,2.9849331274199563e-44,_,_,_,4.054295645239599e-89,3.1992664223713573e-12,_,_,9.408723134599448e-76,2.062031623903178e-57,_,_,_,2.1021587655142153e-14,_,2.5855044647281886e-05,5.461430585474279e-06,_,4.191391807574862e-20,6.4401596956914e-97,1.6453464464151058e-55,1.9286302540978527e-70,5.6237897374748906e-64,1.2376120831038757e-226,3.964738976475486e-29,_,_,2.500899913790238e-15,3.168146582521657e-22,_,6.356102614880114e-07,_,2.9313784668121876e-30,3.0343097151899655e-13,_,3.4382540870851265e-15,0.0,9.903047726619574e-147,1.337523335658208e-115,5.265285101804017e-43,4.3067621775896703e-64,5.704366905694346e-06,*,1.81244099092834e-43,1.0146827872702586e-13,_,
Wildfire,4.471374768119666e-16,3.6862803627485e-09,1.0408234974712372e-37,_,3.8540503190098503e-143,_,2.123100878639401e-99,_,0.0,6.770049306446006e-08,4.584912469540085e-09,2.1496137236227372e-33,3.839413170978184e-111,1.357569838516251e-05,_,8.887134299138467e-08,4.895516360568183e-61,3.6210205172002534e-74,3.8902288070145005e-57,5.6479107061768494e-74,4.7618437499171145e-122,3.3491477130443836e-135,3.2006109734108615e-87,1.1193599435881221e-26,3.818619638967831e-06,_,3.8119534897414014e-08,_,1.0125324234679226e-104,_,2.011054778764309e-07,_,_,_,9.394059888252871e-262,_,6.5943046993234414e-18,_,_,_,_,0.0,3.52344103749143e-35,5.847594125592792e-25,_,_,_,1.81244099092834e-43,*,6.330226367557962e-55,8.826418393697217e-228,
Winter Storm,3.309125659809707e-05,_,_,5.066588227242975e-17,5.702044762878329e-47,5.0471745491298116e-27,1.5579654220272124e-30,_,3.761486535632821e-131,1.8631956542673663e-34,_,4.0062963307422243e-10,3.7065877975397353e-28,0.0,1.1631466556826601e-264,_,7.403137939464991e-14,2.031781885372559e-24,_,1.0553108867523678e-23,2.126326924036246e-31,3.5967628409593634e-36,5.975731827774832e-28,1.154377552113838e-15,9.03447232498544e-22,1.0488041287560947e-93,2.2248219203208766e-115,2.697149214092908e-07,0.0,_,_,_,_,_,8.39138861005647e-90,_,9.178577287496976e-06,_,_,_,_,0.0,0.0,0.0,_,9.655743833872534e-42,_,1.0146827872702586e-13,6.330226367557962e-55,*,1.2987302744065278e-88,
Winter Weather,_,_,1.825214631518558e-25,3.2439830251812705e-87,1.773974930483153e-10,2.8830678843715053e-118,2.4598879828973244e-05,_,3.748791317722412e-21,7.678283330296873e-121,2.8927336641335902e-09,_,_,0.0,0.0,_,_,1.3544979759090772e-07,1.4693107592024248e-117,1.790329343079617e-06,_,5.047184099250563e-06,4.2248596607117475e-07,1.389741000258337e-165,3.642864674972376e-74,0.0,0.0,5.617050391222536e-24,0.0,2.8661468520681265e-06,_,_,_,8.073628783177975e-07,3.300233338487909e-22,_,_,5.5042221039718876e-08,5.046184562664658e-07,_,_,0.0,0.0,0.0,4.681859672436428e-09,4.062666504935596e-157,_,_,8.826418393697217e-228,1.2987302744065278e-88,*
